base_offset	offset	absdelta	probe_length	millis
30072765952	30067837440	4928512	512	3.122858
31877967872	31872391168	5576704	512	5.682976
58155772928	58150450176	5322752	512	12.264547
69849408512	69844050432	5358080	512	13.054966
49208380928	49201607168	6773760	512	9.750827
71185777664	71179145728	6631936	512	5.110259
34737526784	34731436544	6090240	512	8.362659
6365487616	6359149056	6338560	512	12.020629
60800276480	60795739136	4537344	512	6.503803
47816691712	47810948096	5743616	512	9.750999
53143478272	53136427008	7051264	512	12.478662
74870635520	74865178624	5456896	512	4.935759
19790420992	19784043008	6377984	512	6.190406
79493174784	79486429696	6745088	512	7.361992
48809467904	48801490432	7977472	512	4.969690
9278410240	9271731712	6678528	512	11.598928
67939506688	67931241472	8265216	512	8.164895
5102073344	5096205312	5868032	512	13.203073
72974211584	72969504768	4706816	512	2.700015
11525422080	11519711744	5710336	512	3.909210
61029715968	61023677952	6038016	512	13.585159
4321512960	4314304512	7208448	512	11.681228
22189190656	22183661056	5529600	512	5.567582
15114969088	15108058624	6910464	512	6.311844
54299320320	54291072000	8248320	512	9.478151
67065102848	67058890752	6212096	512	10.896343
77390854656	77384176640	6678016	512	4.146877
29931790336	29925672960	6117376	512	12.751916
34713823744	34707676672	6147072	512	11.643468
39787531776	39780033024	7498752	512	13.896223
53692055552	53684396032	7659520	512	8.010945
13197318144	13189891072	7427072	512	3.765283
48954985472	48946829824	8155648	512	9.499994
59686072832	59679297024	6775808	512	11.632180
17074503680	17069927936	4575744	512	9.055012
25808440320	25801761792	6678528	512	2.548464
54913174016	54907124224	6049792	512	6.427986
39389680128	39381671936	8008192	512	12.876888
67112696320	67107110912	5585408	512	13.365623
35282048512	35273950208	8098304	512	7.524072
53713338368	53705088000	8250368	512	4.833191
17449150976	17441722880	7428096	512	9.705627
78052748288	78045958656	6789632	512	8.787907
74689920000	74682656768	7263232	512	5.862583
79991042048	79984771584	6270464	512	9.794907
67978591232	67973916672	4674560	512	5.216870
13451081728	13443254272	7827456	512	4.101336
10185153024	10180685824	4467200	512	4.318631
27299502080	27295296000	4206080	512	4.569348
52775667712	52767498752	8168960	512	8.724731
34416057856	34411258368	4799488	512	4.498774
63690224640	63682223104	8001536	512	4.395090
71337081856	71330534912	6546944	512	8.127423
45119024128	45113531904	5492224	512	5.438978
