base_offset	offset	absdelta	probe_length	millis
76972783616	76972627968	155648	512	0.439961
18852157440	18851968000	189440	512	6.730218
41051971584	41051794944	176640	512	6.528368
28692778496	28692546560	231936	512	3.702371
49585184768	49584943616	241152	512	4.414022
13342094336	13341839872	254464	512	0.437034
974129152	973906432	222720	512	4.440411
50930784768	50930523648	261120	512	3.825411
66383849984	66383593984	256000	512	2.828706
15385154048	15384897536	256512	512	5.158228
20176409600	20176195072	214528	512	4.291544
54510824448	54510579712	244736	512	2.098783
64033224192	64032990720	233472	512	12.775650
30477939712	30477709824	229888	512	5.500213
34924847616	34924662272	185344	512	4.624434
1354186752	1353971712	215040	512	6.483843
10780837888	10780632576	205312	512	6.457067
70530308608	70530102784	205824	512	13.125724
27940869632	27940702208	167424	512	7.037462
77603698688	77603493376	205312	512	2.422537
69404408832	69404203520	205312	512	4.065188
65505813504	65505595904	217600	512	2.180938
55144524800	55144331264	193536	512	3.612738
58259091968	58258844672	247296	512	12.875824
10587124736	10586989568	135168	512	6.245395
29103256064	29103088640	167424	512	0.402796
70015084032	70014918656	165376	512	5.448772
64678932992	64678689280	243712	512	3.207130
34212466688	34212308992	157696	512	7.176198
3192095232	3191876608	218624	512	6.322991
1378878464	1378631168	247296	512	5.765446
3992769536	3992542208	227328	512	6.130613
29652299776	29652124160	175616	512	6.792760
20117599744	20117457920	141824	512	7.830418
218743808	218534400	209408	512	4.715974
73654163456	73653933568	229888	512	11.745245
2989429248	2989208064	221184	512	4.422630
53421559296	53421326848	232448	512	4.377815
17564051456	17563835904	215552	512	6.121069
45327852032	45327697920	154112	512	6.894067
79855450112	79855254016	196096	512	11.712416
69116790784	69116530176	260608	512	11.395855
41386799104	41386631680	167424	512	6.737462
14859013632	14858850304	163328	512	0.445513
70321586688	70321453056	133632	512	0.438399
1770817024	1770557952	259072	512	3.681918
41804364800	41804135424	229376	512	3.314267
24690892800	24690733568	159232	512	5.423410
59018374656	59018178048	196608	512	3.271455
57565489152	57565228544	260608	512	12.652425
68947020288	68946849280	171008	512	5.181637
36116025856	36115851264	174592	512	4.840113
76051447808	76051291136	156672	512	5.144929
27840654848	27840487424	167424	512	7.070647
65828002816	65827845120	157696	512	0.434552
37932575232	37932332544	242688	512	3.093421
69963248640	69963071488	177152	512	3.152506
15349315072	15349172224	142848	512	7.744270
38829765120	38829544448	220672	512	3.539283
31566210048	31566076416	133632	512	5.948776
47897881088	47897720832	160256	512	4.935248
41655419904	41655200256	219648	512	5.395465
72508902400	72508770816	131584	512	4.491930
66801435136	66801292800	142336	512	4.426712
50025842176	50025703936	138240	512	0.430138
34749355008	34749186560	168448	512	6.904877
35010430976	35010246656	184320	512	4.675411
35093881856	35093711360	170496	512	5.118725
72787969024	72787825152	143872	512	4.070971
63937988096	63937835008	153088	512	6.171191
70814149120	70813998080	151040	512	3.936960
59207428608	59207177216	251392	512	12.708154
70110307840	70110097920	209920	512	3.857747
61143072256	61142865408	206848	512	2.778958
43936337408	43936143360	194048	512	4.114147
58996232704	58996077568	155136	512	6.395124
75020520448	75020282368	238080	512	11.459673
32436312064	32436081152	230912	512	5.401017
71146230784	71146014720	216064	512	12.748541
63551020544	63550843904	176640	512	3.675846
39481751040	39481489408	261632	512	2.457333
57392846336	57392587776	258560	512	0.592060
54020497408	54020248576	248832	512	13.178712
62237339136	62237121024	218112	512	4.379371
75291353600	75291171840	181760	512	4.174480
5785188352	5784997888	190464	512	4.984733
75846200832	75846005760	195072	512	12.915318
53978866176	53978685952	180224	512	5.928018
77977367040	77977204736	162304	512	2.362815
53313805312	53313613824	191488	512	5.557681
57924280320	57924061696	218624	512	2.836613
26767849472	26767621632	227840	512	3.756420
69819934208	69819697664	236544	512	2.944926
37152335360	37152172544	162816	512	5.149009
23166841856	23166621696	220160	512	3.862394
19501945344	19501683200	262144	512	5.031135
5076818944	5076644352	174592	512	5.427719
3740324352	3740187136	137216	512	6.224752
14490840576	14490607104	233472	512	3.946150
12633182208	12632996864	185344	512	6.828214
52038424576	52038284288	140288	512	5.319258
79111102464	79110954496	147968	512	2.694842
17645668864	17645509120	159744	512	7.416296
57333879296	57333719040	160256	512	6.391311
57480369664	57480203264	166400	512	6.209833
47326131200	47325903872	227328	512	3.085752
14530882048	14530718720	163328	512	7.404836
43774416384	43774195712	220672	512	5.259591
47765075968	47764921344	154624	512	6.904160
78639327744	78639181824	145920	512	4.952150
60773322240	60773177344	144896	512	6.704056
48180690432	48180553216	137216	512	5.525501
29381696512	29381558272	138240	512	7.643586
40545477632	40545278976	198656	512	5.945796
61518631936	61518493696	138240	512	4.955570
76077779456	76077575680	203776	512	12.579808
29512975360	29512825856	149504	512	7.433188
64516637184	64516481024	156160	512	6.075673
