base_offset	offset	absdelta	probe_length	millis
7381003264	7380884992	118272	512	6.606938
58577486848	58577402368	84480	512	8.555798
20699704320	20699574784	129536	512	8.110050
14862016512	14861886464	130048	512	8.198367
53333687808	53333559296	128512	512	7.396588
9516147712	9516080640	67072	512	9.575110
17246614016	17246494720	119296	512	8.351860
60024431616	60024334848	96768	512	8.147959
66967640576	66967534080	106496	512	5.668706
18613497856	18613405696	92160	512	9.024363
47087444992	47087350784	94208	512	8.650705
8240371200	8240249344	121856	512	8.390022
4980146688	4980060672	86016	512	9.234444
64085018112	64084892160	125952	512	7.000400
1681449472	1681362944	86528	512	9.237979
56942940672	56942833152	107520	512	7.923239
15527818240	15527718912	99328	512	8.839406
73148704768	73148633600	71168	512	8.574386
28823775744	28823646720	129024	512	6.028155
24753732096	24753646080	86016	512	9.047703
23075648512	23075534336	114176	512	6.485628
20846491136	20846400000	91136	512	8.985868
56583372288	56583248384	123904	512	7.442539
73199340544	73199250432	90112	512	7.881812
71362420224	71362323456	96768	512	7.655212
41885789696	41885702144	87552	512	6.895975
49181498880	49181395456	103424	512	8.306294
30545144832	30545057792	87040	512	8.943306
30582494208	30582413312	80896	512	0.437382
29606581248	29606488064	93184	512	0.451915
50974198272	50974097920	100352	512	0.419164
65502492160	65502382080	110080	512	7.564781
73587373056	73587274240	98816	512	7.400385
61805143040	61805067264	75776	512	6.866225
10430415360	10430333440	81920	512	9.231376
52039044096	52038918144	125952	512	0.502130
46661157376	46661039104	118272	512	7.901937
2966274048	2966206464	67584	512	9.624564
5351818240	5351737344	80896	512	9.319843
78903995904	78903894016	101888	512	4.787115
9886415360	9886309376	105984	512	6.865298
49833313792	49833212416	101376	512	6.435313
30230172160	30230041600	130560	512	7.907507
19201423872	19201353216	70656	512	9.408737
49596857856	49596763648	94208	512	8.491275
41940105728	41940026368	79360	512	9.017090
39192267776	39192201216	66560	512	7.543565
37620019712	37619888640	131072	512	5.896596
906677248	906560000	117248	512	6.722148
13833762816	13833664000	98816	512	7.014784
62748749824	62748631552	118272	512	5.578391
63706813952	63706695168	118784	512	7.325349
56527620096	56527544832	75264	512	6.973412
703397888	703269888	128000	512	8.343398
64481771520	64481649152	122368	512	5.274416
17563346432	17563279872	66560	512	7.715298
38144151040	38144083456	67584	512	9.415619
28593305088	28593236480	68608	512	9.484993
31722822656	31722711552	111104	512	6.515966
5756338176	5756265472	72704	512	9.481603
73064054784	73063928320	126464	512	4.642053
56109127168	56109043712	83456	512	6.853600
52318036992	52317919744	117248	512	7.784163
57819031552	57818926592	104960	512	8.014258
62516960256	62516872192	88064	512	8.364270
39553270272	39553195008	75264	512	0.432133
44337690624	44337582592	108032	512	0.466297
24264104448	24263974400	130048	512	7.992354
22674408960	22674292736	116224	512	8.414732
76114328064	76114251776	76288	512	8.273321
13099488768	13099372032	116736	512	8.460912
9788208640	9788093440	115200	512	8.475044
29753670144	29753556992	113152	512	8.353481
17875705344	17875586048	119296	512	8.350804
2394980352	2394870784	109568	512	8.750242
58719100928	58719007744	93184	512	8.279505
21897894400	21897783296	111104	512	8.514056
13064670208	13064564224	105984	512	8.730238
10531337728	10531217408	120320	512	8.457996
46831088640	46830991360	97280	512	8.493133
66749809664	66749732352	77312	512	8.620396
42783786496	42783716864	69632	512	7.403639
56903644672	56903528448	116224	512	7.675641
10963350528	10963256832	93696	512	0.803097
3471399936	3471289856	110080	512	6.822288
36859177984	36859069952	108032	512	6.509708
26081419776	26081290752	129024	512	8.029028
68598291968	68598175232	116736	512	5.321872
2633424384	2633312768	111616	512	8.650720
48192478208	48192355328	122880	512	7.796024
12794747392	12794620416	126976	512	8.226911
5220439552	5220372992	66560	512	9.644178
62256860160	62256745984	114176	512	7.538471
59050506752	59050424832	81920	512	8.614835
67260161536	67260084736	76800	512	8.626911
6797064192	6796956672	107520	512	8.625724
27453785088	27453700096	84992	512	9.051377
35662889472	35662806528	82944	512	7.175790
28752014848	28751938048	76800	512	9.261440
65614054912	65613978624	76288	512	8.650232
68403628544	68403506176	122368	512	7.020207
68315723264	68315630080	93184	512	7.951042
43726063616	43725968896	94720	512	8.576070
21132484608	21132413952	70656	512	9.464225
56871729664	56871601152	128512	512	7.307390
79875257344	79875177472	79872	512	7.578463
35223563776	35223466496	97280	512	6.839982
32592282624	32592158720	123904	512	6.183857
51459814912	51459744768	70144	512	9.114250
76577652224	76577576448	75776	512	8.155025
19127230464	19127113216	117248	512	8.407086
21375693824	21375622656	71168	512	9.462605
75996691456	75996580352	111104	512	6.864738
52782953984	52782839808	114176	512	7.910591
56351636480	56351514624	121856	512	7.430082
21001506816	21001429504	77312	512	7.490804
71821684736	71821597184	87552	512	7.930538
78341477888	78341381632	96256	512	7.029183
35910157312	35910078464	78848	512	9.158285
59818440704	59818331648	109056	512	7.803756
73577180672	73577082368	98304	512	7.423598
5766243328	5766123008	120320	512	6.570337
55468906496	55468820992	85504	512	8.630364
33818814976	33818746368	68608	512	13.962695
78851373056	78851262976	110080	512	4.573564
55812570112	55812481536	88576	512	6.623216
17884420096	17884310016	110080	512	8.553726
10918791680	10918672896	118784	512	6.577392
23434562560	23434472448	90112	512	0.368582
39431487488	39431389184	98304	512	6.660003
14871929856	14871810048	119808	512	8.392650
8231662080	8231565312	96768	512	8.917691
52808519168	52808447488	71680	512	9.092312
69437853696	69437735936	117760	512	5.217319
55579417088	55579336192	80896	512	6.925263
67528632320	67528531968	100352	512	5.877633
49748081152	49747994624	86528	512	6.794480
69769014272	69768900096	114176	512	5.300535
37962701824	37962609152	92672	512	6.931904
17000212992	17000116224	96768	512	8.874815
20269797888	20269694976	102912	512	0.440010
52190941696	52190822400	119296	512	5.862974
51669436928	51669315072	121856	512	7.665616
25801053696	25800934400	119296	512	8.262916
70483661824	70483574272	87552	512	8.002882
62662116352	62662014976	101376	512	8.034227
31271977472	31271907328	70144	512	7.530450
3825856000	3825786880	69120	512	9.585212
30491706368	30491632640	73728	512	9.307888
15602934272	15602841600	92672	512	7.117184
223856128	223754240	101888	512	7.066575
39430246400	39430136320	110080	512	8.229793
50159549952	50159456768	93184	512	6.631170
69421976064	69421850112	125952	512	4.877718
40111232512	40111114240	118272	512	8.112100
58987585536	58987507200	78336	512	6.872889
49620182016	49620067840	114176	512	6.076383
64419299328	64419196416	102912	512	7.807745
63457325568	63457239040	86528	512	8.344368
28619463168	28619390464	72704	512	7.488167
65048146944	65048043520	103424	512	5.993890
48092643328	48092520960	122368	512	7.798554
17141545472	17141440512	104960	512	8.654259
23694434304	23694308864	125440	512	8.072449
47818158592	47818064384	94208	512	8.557300
33324346368	33324260864	85504	512	7.092179
53164985344	53164910080	75264	512	8.995323
34085401088	34085328384	72704	512	9.314784
77287340544	77287221760	118784	512	4.212898
63094874624	63094784000	90624	512	8.307355
29633915392	29633819136	96256	512	8.739934
17318620672	17318542336	78336	512	0.485310
60525284864	60525206528	78336	512	8.701177
23738024960	23737919488	105472	512	6.718362
7317771264	7317702144	69120	512	9.571954
54574847488	54574737408	110080	512	7.916597
7187098624	7187025920	72704	512	7.641086
35401298944	35401202688	96256	512	8.699926
11719108608	11719015936	92672	512	8.988840
36054206976	36054137856	69120	512	9.362753
52842592256	52842524672	67584	512	7.366098
58106588160	58106491392	96768	512	6.328834
8046331904	8046264320	67584	512	9.621542
30001818112	30001698816	119296	512	8.176032
75286941184	75286844416	96768	512	7.392313
13672862208	13672787968	74240	512	0.393267
50102162432	50102069248	93184	512	8.506145
5201482752	5201385984	96768	512	9.003710
50647388160	50647261184	126976	512	5.748305
48608510464	48608384512	125952	512	7.697974
13999213568	13999142912	70656	512	9.495159
35475246080	35475145728	100352	512	8.627035
68077485056	68077359616	125440	512	5.043298
3701628416	3701539328	89088	512	9.156564
8802988032	8802889728	98304	512	8.868511
39194708992	39194612224	96768	512	8.517480
53590447616	53590322688	124928	512	7.507096
57864087040	57863960064	126976	512	7.365737
72190590464	72190512128	78336	512	6.424382
30829378048	30829259264	118784	512	6.203027
25102883328	25102790144	93184	512	6.924085
39124941312	39124865536	75776	512	9.072084
21995550720	21995442688	108032	512	0.436437
19378148352	19378080256	68096	512	9.528499
60751342080	60751214080	128000	512	7.205462
56641804288	56641704448	99840	512	8.181428
5081669120	5081579008	90112	512	9.090269
25475102720	25474993664	109056	512	8.478247
74556605440	74556474368	131072	512	6.204520
49486938624	49486838784	99840	512	6.473493
16411381248	16411258368	122880	512	8.270097
31525619712	31525542912	76800	512	0.434327
12533967872	12533898240	69632	512	0.410871
30535710720	30535601152	109568	512	8.417403
39173122560	39173015552	107008	512	8.336971
28927525376	28927454208	71168	512	9.344464
55521820160	55521712128	108032	512	6.152474
36122540032	36122444288	95744	512	8.709507
25148330496	25148254208	76288	512	9.292510
27823180288	27823056896	123392	512	8.151785
37173115904	37173033984	81920	512	9.060572
24073307648	24073216000	91648	512	8.923389
32192382464	32192253952	128512	512	7.938345
16440163328	16440093184	70144	512	9.470744
783598592	783508992	89600	512	0.438561
19879124480	19878994944	129536	512	8.132193
9325561344	9325461504	99840	512	8.798247
58160773632	58160697856	75776	512	0.432676
59834202624	59834104320	98304	512	6.256484
69959008768	69958897664	111104	512	7.276796
20313337856	20313248768	89088	512	7.234152
55077176320	55077069312	107008	512	6.157091
26453899776	26453824000	75776	512	7.447782
53474111488	53474042368	69120	512	9.110871
74692134400	74692005888	128512	512	6.261910
37534611456	37534545408	66048	512	9.448384
53979104768	53978984960	119808	512	7.606881
9365924352	9365822464	101888	512	8.802686
48630351872	48630232064	119808	512	7.883089
12584269824	12584154112	115712	512	6.659819
15466388480	15466321920	66560	512	9.569143
41771741696	41771630080	111616	512	6.359173
47077151744	47077056000	95744	512	8.383543
30645593088	30645499904	93184	512	7.053611
5969928192	5969847808	80384	512	9.302166
30530101760	30529971200	130560	512	6.051752
9065851904	9065762304	89600	512	9.072468
77767121920	77767025664	96256	512	5.160129
70204599808	70204472320	127488	512	0.447784
5926117376	5925991424	125952	512	8.316358
