base_offset	offset	absdelta	probe_length	millis
110001193472	110000888832	304640	512	0.764958
56667172352	56666655232	517120	512	9.198318
129003010560	129002664448	346112	512	11.959797
41107995136	41107668480	326656	512	2.566316
72577304576	72576933376	371200	512	11.975716
30602843648	30602550272	293376	512	6.019303
72843852800	72843518976	333824	512	2.975858
24966598656	24966095360	503296	512	2.332839
63075600384	63075148800	451584	512	11.834966
47128279040	47127892480	386560	512	4.333135
13065426944	13065009664	417280	512	3.140805
82783247872	82782956032	291840	512	3.339123
83915743232	83915426816	316416	512	2.949972
150729683968	150729378816	305152	512	11.172545
16272731648	16272364544	367104	512	5.100844
95077967872	95077455360	512512	512	9.460114
65995125760	65994602496	523264	512	10.476368
2410874880	2410399744	475136	512	12.666751
26935598592	26935251456	347136	512	3.496956
100423878656	100423467520	411136	512	11.787364
89711640576	89711322624	317952	512	2.852330
80391960576	80391686144	274432	512	5.610088
95912420864	95911899648	521216	512	7.500725
110990779392	110990496768	282624	512	2.876107
102079390720	102079002112	388608	512	12.225737
36198268928	36197878272	390656	512	12.304720
141347129856	141346731520	398336	512	9.451693
95827376128	95827084800	291328	512	4.862642
129033364480	129032989696	374784	512	10.963542
85474877440	85474545152	332288	512	2.715399
99683821056	99683417088	403968	512	11.934681
88065959936	88065621504	338432	512	3.927522
68918533120	68918223360	309760	512	3.450701
137783991296	137783727616	263680	512	2.152070
133724953088	133724513280	439808	512	19.943801
44099939840	44099483136	456704	512	10.816407
139913088512	139912600576	487936	512	6.955789
134053007360	134052528640	478720	512	5.917499
18786077184	18785800192	276992	512	5.787667
71285092352	71284675584	416768	512	12.582053
92100254208	92099836416	417792	512	10.197745
152987557376	152987201536	355840	512	7.550152
93503304192	93502832640	471552	512	10.807246
14093060608	14092678144	382464	512	2.712970
157742333952	157742070784	263168	512	11.802265
124398724608	124398273024	451584	512	9.380428
58070258688	58069987840	270848	512	6.053977
69714067456	69713549312	518144	512	10.611664
81075551744	81075232256	319488	512	12.974212
137891759616	137891484672	274944	512	3.653402
73412128256	73411634176	494080	512	9.163805
154432400384	154431937536	462848	512	4.727475
111481624064	111481136640	487424	512	9.296904
28689457664	28689075712	381952	512	2.665074
135704830976	135704313344	517632	512	4.699279
1486369792	1485989376	380416	512	4.927011
83164915712	83164507648	408064	512	12.088056
139357222400	139356809216	413184	512	9.409052
27480109568	27479603200	506368	512	10.474820
103530353664	103530049536	304128	512	2.376287
140112204288	140111698432	505856	512	4.268679
22478496256	22478095360	400896	512	2.585251
51554294272	51553801728	492544	512	9.721003
