base_offset	offset	absdelta	probe_length	millis
26345112064	26344118784	993280	512	3.917238
70749445120	70748558336	886784	512	7.645608
12886980608	12886020096	960512	512	7.853788
36933366784	36932537856	828928	512	8.658438
49034391552	49033725952	665600	512	11.664593
38790129664	38789192192	937472	512	5.316184
50488531968	50487566336	965632	512	2.805265
51077678592	51076920832	757760	512	8.615759
8906172928	8905292800	880128	512	9.676706
60948037632	60947023360	1014272	512	9.096262
22709742080	22708999680	742400	512	3.143122
37353792512	37352932864	859648	512	7.840574
68821413376	68820530176	883200	512	10.927778
22254519296	22253632000	887296	512	9.106555
23108675072	23107696128	978944	512	6.128127
76513832448	76512796160	1036288	512	7.840987
50289016320	50288309760	706560	512	11.850086
67676558336	67675969024	589312	512	9.731104
18337819648	18337290752	528896	512	8.152549
77837362176	77836434944	927232	512	8.870741
25324608000	25323961856	646144	512	2.993087
75154517504	75153709056	808448	512	8.024113
48982982144	48982246912	735232	512	9.819378
62380950528	62380123136	827392	512	3.843389
29537354240	29536488960	865280	512	8.379133
36309758976	36308836352	922624	512	6.643364
4596234752	4595652608	582144	512	5.708403
69406904320	69406265344	638976	512	7.613471
23476229632	23475226112	1003520	512	5.464451
14489847296	14488883200	964096	512	7.729072
73721865216	73720845312	1019904	512	11.794852
55973111808	55972324352	787456	512	6.856187
27769385984	27768816128	569856	512	6.613134
63859753984	63858919424	834560	512	12.493709
14003255296	14002484224	771072	512	12.139817
49215818752	49214775296	1043456	512	12.573607
6792748544	6792103424	645120	512	5.945724
59860626944	59859929088	697856	512	8.399202
20532385792	20531338240	1047552	512	5.366306
35233987072	35232940032	1047040	512	3.534593
55587730432	55586730496	999936	512	11.851435
65178698240	65177848832	849408	512	13.212568
61319545344	61318580736	964608	512	8.791293
44240032768	44239202816	829952	512	7.653974
71751046144	71750296576	749568	512	7.277701
20695917056	20694988800	928256	512	8.155908
15232604672	15231656448	948224	512	8.153415
58690984448	58690296320	688128	512	8.700347
74316726272	74315881984	844288	512	7.397399
31385947136	31385373184	573952	512	6.254754
63165135872	63164235264	900608	512	12.323985
57829190144	57828142592	1047552	512	8.010837
19296704512	19295780352	924160	512	8.235201
8996373504	8995374592	998912	512	6.998694
70911371776	70910648832	722944	512	4.114273
5474519040	5473889792	629248	512	6.210464
30291328000	30290306560	1021440	512	4.545493
14112597504	14111802880	794624	512	11.613317
43022426624	43021585408	841216	512	7.245993
51492065280	51491287552	777728	512	7.710845
24432790528	24431883776	906752	512	7.876643
60742104064	60741455872	648192	512	9.912573
60132485120	60131459072	1026048	512	7.689354
39522910720	39522302976	607744	512	4.610763
60578285056	60577540608	744448	512	7.094169
29042322944	29041466880	856064	512	8.611841
43369166848	43368118272	1048576	512	11.112528
2782208512	2781270016	938496	512	9.073189
18466130944	18465170944	960000	512	7.411256
74182103552	74181309440	794112	512	9.167582
21750583808	21749642752	941056	512	7.858391
32450153472	32449268224	885248	512	7.877713
61065559552	61065021952	537600	512	3.654645
193077760	192188928	888832	512	10.427985
59466422784	59465686528	736256	512	5.377896
4248994304	4247988736	1005568	512	7.653976
66452142592	66451584000	558592	512	2.242719
44160491008	44159710720	780288	512	8.965783
37890255872	37889264128	991744	512	4.495223
25480610816	25480065536	545280	512	7.253072
57198879232	57197954048	925184	512	13.458388
41663964672	41662939648	1025024	512	3.035628
57933556736	57932997120	559616	512	3.864123
4453118464	4452532736	585728	512	7.556413
60552295936	60551413248	882688	512	12.083750
23685462016	23684723200	738816	512	11.913462
6184997888	6184213504	784384	512	12.081836
52050127360	52049098240	1029120	512	11.740920
67675092480	67674496512	595968	512	11.365856
79657121280	79656250368	870912	512	9.633820
18741070336	18740420608	649728	512	3.495418
61986000384	61985272832	727552	512	6.938608
40367563264	40366810112	753152	512	10.089781
51095822336	51095022592	799744	512	7.395526
52382484992	52381509632	975360	512	13.239635
10453810688	10452785152	1025536	512	4.528930
13942142976	13941281280	861696	512	10.102498
48398136832	48397448192	688640	512	11.045612
47790962688	47790218240	744448	512	9.533882
76401244672	76400599552	645120	512	2.615708
3715750400	3714926080	824320	512	2.294670
